ApprovedSymbol	ApprovedName	Class	UniProtID	HGNCID	Taxon
IL4	interleukin 4	ligand	P05112	6014	Eutheria
IL5	interleukin 5 (colony-stimulating factor, eosinophil)	ligand	P05113	6016	Theria
IL6	interleukin 6 (interferon, beta 2)	ligand	P05231	6018	Tetrapoda
IL7	interleukin 7	ligand	P13232	6023	Eutheria
IL8	interleukin 8	ligand	P10145	6025	Euteleostomi
IL9	interleukin 9	ligand	P15248	6029	Euarchontoglires
INHA	inhibin, alpha	ligand	P05111	6065	Tetrapoda
INHBA	inhibin, beta A	ligand	P08476	6066	Amniota
INHBB	inhibin, beta B	ligand	P09529	6067	Euteleostomi
INHBC	inhibin, beta C	ligand	P55103	6068	Theria
INHBE	inhibin, beta E	ligand	P58166	24029	Eutheria
INS	insulin	ligand	P01308	6081	NA
INSL3	insulin-like 3 (Leydig cell)	ligand	P51460	6086	NA
INSL5	insulin-like 5	ligand	Q9Y5Q6	6088	Catarrhini
ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	ligand	Q13352	6157	Amniota
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	ligand	P19823	6167	Deuterostomia
JAG1	jagged 1	ligand	P78504	6188	Euteleostomi
JAG2	jagged 2	ligand	Q9Y219	6189	Euteleostomi
KAL1	Kallmann syndrome 1 sequence	ligand	P23352	6211	Bilateria
KISS1	KiSS-1 metastasis-suppressor	ligand	Q15726	6341	Mammalia
KITLG	KIT ligand	ligand	P21583	6343	Tetrapoda
KLK3	kallikrein-related peptidase 3	ligand	P07288	6364	Eutheria
KNG1	kininogen 1	ligand	P01042	6383	Euteleostomi
KRTAP4-12	keratin associated protein 4-12	ligand	Q9BQ66	16776	Human
L1CAM	L1 cell adhesion molecule	ligand	P32004	6470	Bilateria
LACRT	lacritin	ligand	Q9GZZ8	16430	Catarrhini
LAMA1	laminin, alpha 1	ligand	P25391	6481	Bilateria
LAMA2	laminin, alpha 2	ligand	P24043	6482	Bilateria
LAMA3	laminin, alpha 3	ligand	Q16787	6483	Bilateria
LAMA4	laminin, alpha 4	ligand	Q16363	6484	Bilateria
LAMA5	laminin, alpha 5	ligand	O15230	6485	Bilateria
LAMB1	laminin, beta 1	ligand	P07942	6486	Bilateria
LAMB2	laminin, beta 2 (laminin S)	ligand	P55268	6487	Bilateria
LAMB3	laminin, beta 3	ligand	Q13751	6490	Tetrapoda
LAMC1	laminin, gamma 1 (formerly LAMB2)	ligand	P11047	6492	Bilateria
LAMC2	laminin, gamma 2	ligand	Q13753	6493	Bilateria
LAMC3	laminin, gamma 3	ligand	Q9Y6N6	6494	Bilateria
LCN1	lipocalin 1	ligand	P31025	6525	Mammalia
LCN2	lipocalin 2	ligand	P80188	6526	Theria
LEFTY2	left-right determination factor 2	ligand	O00292	3122	Deuterostomia
LEP	leptin	ligand	P41159	6553	Mammalia
LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	ligand	Q08380	6564	Eutheria
LHB	luteinizing hormone beta polypeptide	ligand	P01229	6584	Theria
LIF	leukemia inhibitory factor	ligand	P15018	6596	Tetrapoda
LIN7C	lin-7 homolog C (C. elegans)	ligand	Q9NUP9	17789	Bilateria
LIPC	lipase, hepatic	ligand	P11150	6619	Theria
LIPH	lipase, member H	ligand	Q8WWY8	18483	Euteleostomi
LPA	lipoprotein, Lp(a)	ligand	P08519	6667	Amniota
LPL	lipoprotein lipase	ligand	P06858	6677	Euteleostomi
LRP1B	low density lipoprotein receptor-related protein 1B	ligand	Q9NZR2	6693	Bilateria
LRPAP1	low density lipoprotein receptor-related protein associated protein 1	ligand	P30533	6701	Bilateria
LTA	lymphotoxin alpha	ligand	P01374	6709	NA
LTB	lymphotoxin beta (TNF superfamily, member 3)	ligand	Q06643	6711	Mammalia
LTBP1	latent transforming growth factor beta binding protein 1	ligand	Q14766	6714	Euteleostomi
LTBP3	latent transforming growth factor beta binding protein 3	ligand	Q9NS15	6716	Euteleostomi
LTF	lactotransferrin	ligand	P02788	6720	Euteleostomi
LY6G5C	lymphocyte antigen 6 complex, locus G5C	ligand	Q5SRR4	13932	Eutheria
LY86	lymphocyte antigen 86	ligand	O95711	16837	Theria
LYPD3	LY6/PLAUR domain containing 3	ligand	O95274	24880	Eutheria
LYZ	lysozyme	ligand	P61626	6740	Tetrapoda
MADCAM1	mucosal vascular addressin cell adhesion molecule 1	ligand	Q13477	6765	Theria
MATN1	matrilin 1, cartilage matrix protein	ligand	P21941	6907	Chordata
MBL2	mannose-binding lectin (protein C) 2, soluble	ligand	P11226	6922	Amniota
MDK	midkine (neurite growth-promoting factor 2)	ligand	P21741	6972	Euarchontoglires
MEPE	matrix extracellular phosphoglycoprotein	ligand	Q9NQ76	13361	Theria
MFAP2	microfibrillar-associated protein 2	ligand	P55001	7033	Euteleostomi
MFAP5	microfibrillar associated protein 5	ligand	Q13361	29673	Theria
MFGE8	milk fat globule-EGF factor 8 protein	ligand	Q08431	7036	Homininae
MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	ligand	P08582	7037	Deuterostomia
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	ligand	O00587	7038	Amniota
MIA	melanoma inhibitory activity	ligand	Q16674	7076	NA
MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	ligand	P55196	7137	Bilateria
MLN	motilin	ligand	P12872	7141	Amniota
MMP1	matrix metallopeptidase 1 (interstitial collagenase)	ligand	P03956	7155	Amniota
MMP12	matrix metallopeptidase 12 (macrophage elastase)	ligand	P39900	7158	Theria
MMP13	matrix metallopeptidase 13 (collagenase 3)	ligand	P45452	7159	Euteleostomi
MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	ligand	P08253	7166	Chordata
MMP7	matrix metallopeptidase 7 (matrilysin, uterine)	ligand	P09237	7174	Amniota
MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	ligand	P14780	7176	Chordata
MST1	macrophage stimulating 1 (hepatocyte growth factor-like)	ligand	P26927	7380	Euteleostomi
MSTN	myostatin	ligand	O14793	4223	Euteleostomi
MUC2	mucin 2, oligomeric mucus/gel-forming	ligand	Q02817	7512	Chordata
MUC7	mucin 7, secreted	ligand	Q8TAX7	7518	Catarrhini
MYOC	myocilin, trabecular meshwork inducible glucocorticoid response	ligand	Q99972	7610	Euteleostomi
NAMPT	nicotinamide phosphoribosyltransferase	ligand	P43490	30092	Euteleostomi
NCAM1	neural cell adhesion molecule 1	ligand	P13591	7656	Deuterostomia
NCAN	neurocan	ligand	O14594	2465	Euteleostomi
NDP	Norrie disease (pseudoglioma)	ligand	Q00604	7678	Amniota
NGF	nerve growth factor (beta polypeptide)	ligand	P01138	7808	Euteleostomi
NID1	nidogen 1	ligand	P14543	7821	Bilateria
NID2	nidogen 2 (osteonidogen)	ligand	Q14112	13389	Bilateria
NLGN1	neuroligin 1	ligand	Q8N2Q7	14291	Bilateria
NLGN2	neuroligin 2	ligand	Q8NFZ4	14290	Bilateria
NLGN3	neuroligin 3	ligand	Q9NZ94	14289	Bilateria
NMB	neuromedin B	ligand	P08949	7842	Theria
NMS	neuromedin S	ligand	Q5H8A3	32203	Eutheria
NMU	neuromedin U	ligand	P48645	7859	Tetrapoda
NODAL	nodal growth differentiation factor	ligand	Q96S42	7865	Theria
NOV	nephroblastoma overexpressed	ligand	P48745	7885	Tetrapoda
NPB	neuropeptide B	ligand	Q8NG41	30099	Theria
NPFF	neuropeptide FF-amide peptide precursor	ligand	O15130	7901	Euarchontoglires
NPNT	nephronectin	ligand	Q6UXI9	27405	Euteleostomi
NPPA	natriuretic peptide A	ligand	P01160	7939	Amniota
NPPB	natriuretic peptide B	ligand	P16860	7940	Catarrhini
NPPC	natriuretic peptide C	ligand	P23582	7941	Euteleostomi
NPS	neuropeptide S	ligand	P0C0P6	33940	Catarrhini
NPVF	neuropeptide VF precursor	ligand	Q9HCQ7	13782	Theria
NPW	neuropeptide W	ligand	Q8N729	30509	Euarchontoglires
NPY	neuropeptide Y	ligand	P01303	7955	Euteleostomi
NRG1	neuregulin 1	ligand	Q02297	7997	Tetrapoda
NRG2	neuregulin 2	ligand	O14511	7998	Mammalia
NRG3	neuregulin 3	ligand	P56975	7999	Tetrapoda
NRG4	neuregulin 4	ligand	Q8WWG1	29862	Euarchontoglires
NRTN	neurturin	ligand	Q99748	8007	Amniota
NTF3	neurotrophin 3	ligand	P20783	8023	Tetrapoda
NTF4	neurotrophin 4	ligand	P34130	8024	Theria
NTN1	netrin 1	ligand	O95631	8029	Bilateria
NTN3	netrin 3	ligand	O00634	8030	Bilateria
NTN4	netrin 4	ligand	Q9HB63	13658	Chordata
NTNG1	netrin G1	ligand	Q9Y2I2	23319	Euteleostomi
NTNG2	netrin G2	ligand	Q96CW9	14288	Euteleostomi
NTS	neurotensin	ligand	P30990	8038	Tetrapoda
NXPH1	neurexophilin 1	ligand	P58417	20693	Euteleostomi
NXPH2	neurexophilin 2	ligand	O95156	8076	Euteleostomi
NXPH3	neurexophilin 3	ligand	O95157	8077	Human
OBP2A	odorant binding protein 2A	ligand	Q9NY56	23380	Homininae
OLAH	oleoyl-ACP hydrolase	ligand	Q9NV23	25625	Euteleostomi
OLFM2	olfactomedin 2	ligand	O95897	17189	Deuterostomia
OMG	oligodendrocyte myelin glycoprotein	ligand	P23515	8135	Euteleostomi
ORM1	orosomucoid 1	ligand	P02763	8498	NA
OSM	oncostatin M	ligand	P13725	8506	Eutheria
OSTN	osteocrin	ligand	P61366	29961	Tetrapoda
OXT	oxytocin/neurophysin I prepropeptide	ligand	P01178	8528	Theria
P4HB	prolyl 4-hydroxylase, beta polypeptide	ligand	P07237	8548	Bilateria
PAPLN	papilin, proteoglycan-like sulfated glycoprotein	ligand	O95428	19262	Tetrapoda
PCSK9	proprotein convertase subtilisin/kexin type 9	ligand	Q8NBP7	20001	Mammalia
PDAP1	PDGFA associated protein 1	ligand	Q13442	14634	Deuterostomia
PDGFA	platelet-derived growth factor alpha polypeptide	ligand	P04085	8799	Euteleostomi
PDGFB	platelet-derived growth factor beta polypeptide	ligand	P01127	8800	Euteleostomi
PDGFC	platelet derived growth factor C	ligand	Q9NRA1	8801	Tetrapoda
PDGFD	platelet derived growth factor D	ligand	Q9GZP0	30620	Tetrapoda
PDYN	prodynorphin	ligand	P01213	8820	Theria
PENK	proenkephalin	ligand	P01210	8831	Euteleostomi
PF4	platelet factor 4	ligand	P02776	8861	Euarchontoglires
PGF	placental growth factor	ligand	P49763	8893	Mammalia
PI3	peptidase inhibitor 3, skin-derived	ligand	P19957	8947	Catarrhini
PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	ligand	Q07326	8962	Deuterostomia
PIP	prolactin-induced protein	ligand	P12273	8993	Eutheria
PKM	pyruvate kinase, muscle	ligand	P14618	9021	Cell.Organisms
PLA2G10	phospholipase A2, group X	ligand	O15496	9029	Tetrapoda
PLAT	plasminogen activator, tissue	ligand	P00750	9051	Euteleostomi
PLAU	plasminogen activator, urokinase	ligand	P00749	9052	Amniota
PLG	plasminogen	ligand	P00747	9071	Amniota
PLTP	phospholipid transfer protein	ligand	P55058	9093	Euteleostomi
PMCH	pro-melanin-concentrating hormone	ligand	P20382	9109	Amniota
PNOC	prepronociceptin	ligand	Q13519	9163	Euteleostomi
PODXL	podocalyxin-like	ligand	O00592	9171	Eutheria
PODXL2	podocalyxin-like 2	ligand	Q9NZ53	17936	Amniota
POMC	proopiomelanocortin	ligand	P01189	9201	Euteleostomi
PON2	paraoxonase 2	ligand	Q15165	9205	Euteleostomi
PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	ligand	P02775	9240	Eutheria
PPY	pancreatic polypeptide	ligand	P01298	9327	Theria
PRL	prolactin	ligand	P01236	9445	Euteleostomi
PRLH	prolactin releasing hormone	ligand	P81277	17945	Eutheria
PRND	prion protein 2 (dublet)	ligand	Q9UKY0	15748	Theria
PROC	protein C (inactivator of coagulation factors Va and VIIIa)	ligand	P04070	9451	Euteleostomi
PROK1	prokineticin 1	ligand	P58294	18454	Amniota
PROK2	prokineticin 2	ligand	Q9HC23	18455	Human
PROS1	protein S (alpha)	ligand	P07225	9456	Chordata
PRSS23	protease, serine, 23	ligand	O95084	14370	Euteleostomi
PSAP	prosaposin	ligand	P07602	9498	Deuterostomia
PSEN1	presenilin 1	ligand	P49768	9508	Eukaryota
PSPN	persephin	ligand	O60542	9579	Eutheria
PTDSS1	phosphatidylserine synthase 1	ligand	P48651	9587	Bilateria
PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	ligand	P35354	9605	Chordata
PTH	parathyroid hormone	ligand	P01270	9606	Theria
PTH2	parathyroid hormone 2	ligand	Q96A98	30828	Eutheria
PTHLH	parathyroid hormone-like hormone	ligand	P12272	9607	Euteleostomi
PTMA	prothymosin, alpha	ligand	P06454	9623	Amniota
PTN	pleiotrophin	ligand	P21246	9630	Amniota
PYY	peptide YY	ligand	P10082	9748	Theria
QDPR	quinoid dihydropteridine reductase	ligand	P09417	9752	Bilateria
QRFP	pyroglutamylated RFamide peptide	ligand	P83859	29982	Tetrapoda
RAET1E	retinoic acid early transcript 1E	ligand	Q8TD07	16793	Eutheria
RARRES2	retinoic acid receptor responder (tazarotene induced) 2	ligand	Q99969	9868	Theria
RBP3	retinol binding protein 3, interstitial	ligand	P10745	9921	Euteleostomi
RBP4	retinol binding protein 4, plasma	ligand	P02753	9922	Euteleostomi
RELN	reelin	ligand	P78509	9957	Deuterostomia
REN	renin	ligand	P00797	9958	Euteleostomi
RGMA	repulsive guidance molecule family member a	ligand	Q96B86	30308	Deuterostomia
RGMB	repulsive guidance molecule family member b	ligand	Q6NW40	26896	Euteleostomi
RIMS1	regulating synaptic membrane exocytosis 1	ligand	Q86UR5	17282	Bilateria
RIMS2	regulating synaptic membrane exocytosis 2	ligand	Q9UQ26	17283	Bilateria
RLN1	relaxin 1	ligand	P04808	10026	Homininae
RLN2	relaxin 2	ligand	P04090	10027	Homininae
RLN3	relaxin 3	ligand	Q8WXF3	17135	Euteleostomi
RNASE2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	ligand	P10153	10045	Euarchontoglires
RPH3A	rabphilin 3A homolog (mouse)	ligand	Q9Y2J0	17056	Euteleostomi
RPS19	ribosomal protein S19	ligand	P39019	10402	Cell.Organisms
RSPO1	R-spondin 1	ligand	Q2MKA7	21679	Amniota
RSPO2	R-spondin 2	ligand	Q6UXX9	28583	Tetrapoda
RSPO3	R-spondin 3	ligand	Q9BXY4	20866	Deuterostomia
RSPO4	R-spondin 4	ligand	Q2I0M5	16175	Theria
RTN4	reticulon 4	ligand	Q9NQC3	14085	Chordata
S100A8	S100 calcium binding protein A8	ligand	P05109	10498	Mammalia
S100A9	S100 calcium binding protein A9	ligand	P06702	10499	Theria
SAA1	serum amyloid A1	ligand	P0DJI8	10513	Mammalia
SCGB1A1	secretoglobin, family 1A, member 1 (uteroglobin)	ligand	P11684	12523	Eutheria
SCGB3A1	secretoglobin, family 3A, member 1	ligand	Q96QR1	18384	Euarchontoglires
SCGB3A2	secretoglobin, family 3A, member 2	ligand	Q96PL1	18391	Mammalia
SCT	secretin	ligand	P09683	10607	Homininae
SELPLG	selectin P ligand	ligand	Q14242	10722	Euarchontoglires
SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	ligand	Q14563	10723	Euteleostomi
SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	ligand	Q13214	10724	Euteleostomi
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	ligand	Q99985	10725	Euteleostomi
SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	ligand	O95025	10726	Euteleostomi
SEMA3E	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	ligand	O15041	10727	Euteleostomi
SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	ligand	Q13275	10728	Euteleostomi
SEMA3G	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	ligand	Q9NS98	30400	Euteleostomi
SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	ligand	Q9H3S1	10729	Mammalia
SEMA4B	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	ligand	Q9NPR2	10730	Tetrapoda
SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	ligand	Q9C0C4	10731	Mammalia
SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	ligand	Q92854	10732	Chordata
SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	ligand	O95754	10734	Theria
SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	ligand	Q9NTN9	10735	Tetrapoda
SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	ligand	Q13591	10736	Euteleostomi
SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	ligand	Q9H2E6	10738	Bilateria
SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	ligand	Q8NFY4	16770	Bilateria
SEMA7A	semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)	ligand	O75326	10741	Amniota
SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	ligand	P01009	8941	Euteleostomi
SERPINA7	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	ligand	P05543	11583	Mammalia
SERPINC1	serpin peptidase inhibitor, clade C (antithrombin), member 1	ligand	P01008	775	Euteleostomi
SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	ligand	P05121	8583	Euteleostomi
SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	ligand	P07093	8951	Tetrapoda
SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	ligand	P05155	1228	Mammalia
SFRP1	secreted frizzled-related protein 1	ligand	Q8N474	10776	Euteleostomi
SFTPA1	surfactant protein A1	ligand	Q8IWL2	10798	Tetrapoda
SFTPA2	surfactant protein A2	ligand	Q8IWL1	10799	Tetrapoda
SFTPD	surfactant protein D	ligand	P35247	10803	Mammalia
SHANK1	SH3 and multiple ankyrin repeat domains 1	ligand	Q9Y566	15474	Bilateria
SHBG	sex hormone-binding globulin	ligand	P04278	10839	Mammalia
SHH	sonic hedgehog	ligand	Q15465	10848	Bilateria
SLIT1	slit homolog 1 (Drosophila)	ligand	O75093	11085	Bilateria
SLIT2	slit homolog 2 (Drosophila)	ligand	O94813	11086	Bilateria
SLIT3	slit homolog 3 (Drosophila)	ligand	O75094	11087	Bilateria
SLPI	secretory leukocyte peptidase inhibitor	ligand	P03973	11092	Euarchontoglires
SORBS1	sorbin and SH3 domain containing 1	ligand	Q9BX66	14565	Chordata
SOST	sclerostin	ligand	Q9BQB4	13771	Human
SPINK1	serine peptidase inhibitor, Kazal type 1	ligand	P00995	11244	Mammalia
SPINT1	serine peptidase inhibitor, Kunitz type 1	ligand	O43278	11246	Euteleostomi
SPON2	spondin 2, extracellular matrix protein	ligand	Q9BUD6	11253	Euteleostomi
SPP1	secreted phosphoprotein 1	ligand	P10451	11255	Amniota
SST	somatostatin	ligand	P61278	11329	Euteleostomi
SYTL3	synaptotagmin-like 3	ligand	Q4VX76	15587	Bilateria
TAC1	tachykinin, precursor 1	ligand	P20366	11517	Euteleostomi
TAC3	tachykinin 3	ligand	Q9UHF0	11521	Mammalia
TAC4	tachykinin 4 (hemokinin)	ligand	Q86UU9	16641	Euarchontoglires
TCN2	transcobalamin II	ligand	P20062	11653	Euteleostomi
TCTN1	tectonic family member 1	ligand	Q2MV58	26113	Tetrapoda
TDGF1	teratocarcinoma-derived growth factor 1	ligand	P13385	11701	NA
TF	transferrin	ligand	P02787	11740	Euteleostomi
TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	ligand	P10646	11760	Chordata
TG	thyroglobulin	ligand	P01266	11764	Euteleostomi
TGFA	transforming growth factor, alpha	ligand	P01135	11765	Euteleostomi
TGFB1	transforming growth factor, beta 1	ligand	P01137	11766	Theria
TGFB2	transforming growth factor, beta 2	ligand	P61812	11768	Deuterostomia
TGFB3	transforming growth factor, beta 3	ligand	P10600	11769	Amniota
TGM2	transglutaminase 2	ligand	P21980	11778	Euteleostomi
THBS1	thrombospondin 1	ligand	P07996	11785	Deuterostomia
THBS2	thrombospondin 2	ligand	P35442	11786	Deuterostomia
THPO	thrombopoietin	ligand	P40225	11795	Theria
TIMP1	TIMP metallopeptidase inhibitor 1	ligand	P01033	11820	Mammalia
TIMP2	TIMP metallopeptidase inhibitor 2	ligand	P16035	11821	Euteleostomi
TIMP3	TIMP metallopeptidase inhibitor 3	ligand	P35625	11822	Euteleostomi
TNC	tenascin C	ligand	P24821	5318	Bilateria
TNF	tumor necrosis factor	ligand	P01375	11892	Theria
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	ligand	P50591	11925	Amniota
TNFSF11	tumor necrosis factor (ligand) superfamily, member 11	ligand	O14788	11926	Tetrapoda
TNFSF12	tumor necrosis factor (ligand) superfamily, member 12	ligand	O43508	11927	NA
TNFSF13	tumor necrosis factor (ligand) superfamily, member 13	ligand	O75888	11928	Mammalia
TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	ligand	Q9Y275	11929	Amniota
TNFSF14	tumor necrosis factor (ligand) superfamily, member 14	ligand	O43557	11930	Mammalia
TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	ligand	O95150	11931	Tetrapoda
TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	ligand	Q9UNG2	11932	Eutheria
TNFSF4	tumor necrosis factor (ligand) superfamily, member 4	ligand	P23510	11934	Amniota
TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	ligand	P32971	11938	Amniota
TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	ligand	P41273	11939	Mammalia
TRH	thyrotropin-releasing hormone	ligand	P20396	12298	Euteleostomi
TSHB	thyroid stimulating hormone, beta	ligand	P01222	12372	Euteleostomi
TSLP	thymic stromal lymphopoietin	ligand	Q969D9	30743	Euarchontoglires
UCN	urocortin	ligand	P55089	12516	Theria
UCN2	urocortin 2	ligand	Q96RP3	18414	Eutheria
UCN3	urocortin 3	ligand	Q969E3	17781	Tetrapoda
ULBP2	UL16 binding protein 2	ligand	Q9BZM5	14894	Eutheria
UTS2	urotensin 2	ligand	O95399	12636	Amniota
UTS2B	urotensin 2B	ligand	Q765I0	30894	Euarchontoglires
VASP	vasodilator-stimulated phosphoprotein	ligand	P50552	12652	Homininae
VCAM1	vascular cell adhesion molecule 1	ligand	P19320	12663	Euteleostomi
VCAN	versican	ligand	P13611	2464	Euteleostomi
VEGFA	vascular endothelial growth factor A	ligand	P15692	12680	Euteleostomi
VEGFB	vascular endothelial growth factor B	ligand	P49765	12681	Mammalia
VEGFC	vascular endothelial growth factor C	ligand	P49767	12682	Chordata
VIM	vimentin	ligand	P08670	12692	Chordata
VIP	vasoactive intestinal peptide	ligand	P01282	12693	Tetrapoda
VTN	vitronectin	ligand	P04004	12724	NA
VWF	von Willebrand factor	ligand	P04275	12726	Chordata
WNT1	wingless-type MMTV integration site family, member 1	ligand	P04628	12774	Theria
WNT11	wingless-type MMTV integration site family, member 11	ligand	O96014	12776	Euteleostomi
WNT16	wingless-type MMTV integration site family, member 16	ligand	Q9UBV4	16267	Euteleostomi
WNT2	wingless-type MMTV integration site family member 2	ligand	P09544	12780	Amniota
WNT3	wingless-type MMTV integration site family, member 3	ligand	P56703	12782	Euteleostomi
WNT3A	wingless-type MMTV integration site family, member 3A	ligand	P56704	15983	Euteleostomi
WNT4	wingless-type MMTV integration site family, member 4	ligand	P56705	12783	Human
WNT5A	wingless-type MMTV integration site family, member 5A	ligand	P41221	12784	Deuterostomia
WNT7A	wingless-type MMTV integration site family, member 7A	ligand	O00755	12786	Amniota
WNT7B	wingless-type MMTV integration site family, member 7B	ligand	P56706	12787	Euteleostomi
XCL1	chemokine (C motif) ligand 1	ligand	P47992	10645	Amniota
XCL2	chemokine (C motif) ligand 2	ligand	Q9UBD3	10646	Amniota
YARS	tyrosyl-tRNA synthetase	ligand	P54577	12840	Cell.Organisms
ZG16B	zymogen granule protein 16B	ligand	Q96DA0	30456	Catarrhini
ZP3	zona pellucida glycoprotein 3 (sperm receptor)	ligand	P21754	13189	Euteleostomi
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	receptor	O95477	29	Cell.Organisms
ACKR2	atypical chemokine receptor 2	receptor	O00590	1565	Eutheria
ACKR3	atypical chemokine receptor 3	receptor	P25106	23692	Euteleostomi
ACKR4	atypical chemokine receptor 4	receptor	Q9NPB9	1611	Mammalia
ACVR1	activin A receptor, type I	receptor	Q04771	171	Bilateria
ACVR1B	activin A receptor, type IB	receptor	P36896	172	Bilateria
ACVR1C	activin A receptor, type IC	receptor	Q8NER5	18123	Bilateria
ACVR2A	activin A receptor, type IIA	receptor	P27037	173	Bilateria
ACVR2B	activin A receptor, type IIB	receptor	Q13705	174	Bilateria
ACVRL1	activin A receptor type II-like 1	receptor	P37023	175	Eutheria
ADCY1	adenylate cyclase 1 (brain)	receptor	Q08828	232	Bilateria
ADCY7	adenylate cyclase 7	receptor	P51828	238	Bilateria
ADCY8	adenylate cyclase 8 (brain)	receptor	P40145	239	Bilateria
ADCY9	adenylate cyclase 9	receptor	O60503	240	Bilateria
ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	receptor	P41586	242	Euteleostomi
ADIPOR1	adiponectin receptor 1	receptor	Q96A54	24040	Euteleostomi
ADIPOR2	adiponectin receptor 2	receptor	Q86V24	24041	Eukaryota
ADORA1	adenosine A1 receptor	receptor	P30542	262	Euteleostomi
ADORA2B	adenosine A2b receptor	receptor	P29275	264	Tetrapoda
ADRA2A	adrenoceptor alpha 2A	receptor	P08913	281	Bilateria
ADRA2B	adrenoceptor alpha 2B	receptor	P18089	282	NA
ADRB2	adrenoceptor beta 2, surface	receptor	P07550	286	Deuterostomia
ADRB3	adrenoceptor beta 3	receptor	P13945	288	Theria
AGR2	anterior gradient 2	receptor	O95994	328	Tetrapoda
AGTR1	angiotensin II receptor, type 1	receptor	P30556	336	Euteleostomi
AGTR2	angiotensin II receptor, type 2	receptor	P50052	338	Euteleostomi
ALK	anaplastic lymphoma receptor tyrosine kinase	receptor	Q9UM73	427	Euteleostomi
AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase	receptor	Q9UKV5	463	Bilateria
AMHR2	anti-Mullerian hormone receptor, type II	receptor	Q16671	465	Eutheria
APCDD1	adenomatosis polyposis coli down-regulated 1	receptor	Q8J025	15718	Deuterostomia
APLNR	apelin receptor	receptor	P35414	339	Euteleostomi
APLP2	amyloid beta (A4) precursor-like protein 2	receptor	Q06481	598	Euteleostomi
AQP1	aquaporin 1 (Colton blood group)	receptor	P29972	633	NA
ART1	ADP-ribosyltransferase 1	receptor	P52961	723	Tetrapoda
