ApprovedSymbol	UniProtID	HGNCID	ApprovedName	Consensus_Call	Taxon	Age	Class
GUCA2A	Q02747	4682	guanylate cyclase activator 2A (guanylin)	secreted	Human	0	Ligand
GUCA2B	Q16661	4683	guanylate cyclase activator 2B (uroguanylin)	secreted	Theria	176	Ligand
GZMB	P10144	4709	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	cytoplasm. nucleus	Euteleostomi	454	Ligand
HAS2	Q92819	4819	hyaluronan synthase 2	plasma membrane	Euteleostomi	454	Ligand
HBEGF	Q99075	3059	heparin-binding EGF-like growth factor	cytoplasm. nucleus. plasma membrane. secreted	Amniota	324	Ligand
HCRT	O43612	4847	hypocretin (orexin) neuropeptide precursor	secreted	Theria	176	Ligand
HEBP1	Q9NRV9	17176	heme binding protein 1	cytoplasm	Tetrapoda	361	Ligand
HGF	P14210	4893	hepatocyte growth factor (hepapoietin A; scatter factor)	cytoplasm. secreted	Euteleostomi	454	Ligand
HHIPL2	Q6UWX4	25842	HHIP-like 2	secreted	Deuterostomia	824	Ligand
HHLA3	Q9XRX5	4906	HERV-H LTR-associating 3	secreted	Homininae	6	Ligand
HLA-A	P01891	4931	major histocompatibility complex, class I, A	endoplasmic reticulum. golgi apparatus. nucleus. plasma membrane. secreted	Euteleostomi	454	Ligand
HLA-B	P01889	4932	major histocompatibility complex, class I, B	cytoplasm. plasma membrane. secreted	Euteleostomi	454	Ligand
HLA-C	P04222	4933	major histocompatibility complex, class I, C	plasma membrane	NA	NA	Ligand
HLA-E	P13747	4962	major histocompatibility complex, class I, E	plasma membrane	Homininae	6	Ligand
HLA-G	P17693	4964	major histocompatibility complex, class I, G	endoplasmic reticulum. golgi apparatus. plasma membrane. secreted	Homininae	6	Ligand
HMGB1	P09429	4983	high mobility group box 1	cytoplasm. mitochondrion. nucleus. secreted	Eukaryota	1628	Ligand
HP	P00738	5141	haptoglobin	secreted	NA	NA	Ligand
HRAS	P01112	5173	Harvey rat sarcoma viral oncogene homolog	cytoplasm. golgi apparatus. mitochondrion. nucleus	Euteleostomi	454	Ligand
HRG	P04196	5181	histidine-rich glycoprotein	secreted	Amniota	324	Ligand
HSP90AA1	P07900	5253	heat shock protein 90kDa alpha (cytosolic), class A member 1	cytoplasm. melanosome. mitochondrion. nucleus. secreted	Eukaryota	1628	Ligand
HSPG2	P98160	5273	heparan sulfate proteoglycan 2	secreted	Bilateria	910	Ligand
IAPP	P10997	5329	islet amyloid polypeptide	lysosome. secreted	Amniota	324	Ligand
IBSP	P21815	5341	integrin-binding sialoprotein	secreted	Mammalia	220	Ligand
ICAM1	P05362	5344	intercellular adhesion molecule 1	cytoplasm. plasma membrane. secreted	Euarchontoglires	91	Ligand
ICAM2	P13598	5345	intercellular adhesion molecule 2	plasma membrane	Theria	176	Ligand
ICAM3	P32942	5346	intercellular adhesion molecule 3	plasma membrane. secreted	Catarrhini	29	Ligand
ICAM4	Q14773	5347	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	plasma membrane. secreted	Eutheria	97	Ligand
ICAM5	Q9UMF0	5348	intercellular adhesion molecule 5, telencephalin	plasma membrane	Amniota	324	Ligand
IFNA1	P01562	5417	interferon, alpha 1	secreted	Catarrhini	29	Ligand
IFNA10	P01566	5418	interferon, alpha 10	secreted	Human	0	Ligand
IFNA13	P01562	5419	interferon, alpha 13	secreted	NA	NA	Ligand
IFNA14	P01570	5420	interferon, alpha 14	secreted	NA	NA	Ligand
IFNA16	P05015	5421	interferon, alpha 16	secreted	Eutheria	97	Ligand
IFNA17	P01571	5422	interferon, alpha 17	secreted	NA	NA	Ligand
IFNA2	P01563	5423	interferon, alpha 2	secreted	Catarrhini	29	Ligand
IFNA21	P01568	5424	interferon, alpha 21	secreted	Catarrhini	29	Ligand
IFNA4	P05014	5425	interferon, alpha 4	secreted	NA	NA	Ligand
IFNA5	P01569	5426	interferon, alpha 5	secreted	Eutheria	97	Ligand
IFNA6	P05013	5427	interferon, alpha 6	secreted	Homininae	6	Ligand
IFNA7	P01567	5428	interferon, alpha 7	secreted	Eutheria	97	Ligand
IFNA8	P32881	5429	interferon, alpha 8	secreted	Catarrhini	29	Ligand
IFNB1	P01574	5434	interferon, beta 1, fibroblast	secreted	Mammalia	220	Ligand
IFNG	P01579	5438	interferon, gamma	secreted	Amniota	324	Ligand
IFNL1	Q8IU54	18363	interferon, lambda 1	secreted	Human	0	Ligand
IFNL2	Q8IZJ0	18364	interferon, lambda 2	secreted	Theria	176	Ligand
IFNL3	Q8IZI9	18365	interferon, lambda 3	secreted	Theria	176	Ligand
IFNW1	P05000	5448	interferon, omega 1	secreted	Theria	176	Ligand
IGF1	P05019	5464	insulin-like growth factor 1 (somatomedin C)	cytoplasm. secreted	Chordata	797	Ligand
IGF2	P01344	5466	insulin-like growth factor 2 (somatomedin A)	secreted	Eutheria	97	Ligand
IGFBP4	P22692	5473	insulin-like growth factor binding protein 4	secreted	Tetrapoda	361	Ligand
IGFL1	Q6UW32	24093	IGF-like family member 1	secreted	Human	0	Ligand
IGFL2	Q6UWQ7	32929	IGF-like family member 2	secreted	Human	0	Ligand
IGFL3	Q6UXB1	32930	IGF-like family member 3	secreted	Catarrhini	29	Ligand
IHH	Q14623	5956	indian hedgehog	secreted	Bilateria	910	Ligand
IL10	P22301	5962	interleukin 10	secreted	Euteleostomi	454	Ligand
IL11	P20809	5966	interleukin 11	secreted	Homininae	6	Ligand
IL12A	P29459	5969	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	secreted	Amniota	324	Ligand
IL12B	P29460	5970	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	secreted	Amniota	324	Ligand
IL13	P35225	5973	interleukin 13	secreted	Eutheria	97	Ligand
IL15	P40933	5977	interleukin 15	cytoplasm. endoplasmic reticulum. endosome. golgi apparatus. nucleus. secreted	Amniota	324	Ligand
IL16	Q14005	5980	interleukin 16	cytoplasm. nucleus. secreted	Amniota	324	Ligand
IL17A	Q16552	5981	interleukin 17A	secreted	Tetrapoda	361	Ligand
IL17B	Q9UHF5	5982	interleukin 17B	secreted	Tetrapoda	361	Ligand
IL17F	Q96PD4	16404	interleukin 17F	secreted	Tetrapoda	361	Ligand
IL18	Q14116	5986	interleukin 18 (interferon-gamma-inducing factor)	cytoplasm. secreted	Amniota	324	Ligand
IL19	Q9UHD0	5990	interleukin 19	secreted	Theria	176	Ligand
IL1A	P01583	5991	interleukin 1, alpha	cytoplasm. secreted	Theria	176	Ligand
IL1B	P01584	5992	interleukin 1, beta	cytoplasm. nucleus. secreted	Euteleostomi	454	Ligand
IL1F10	Q8WWZ1	15552	interleukin 1 family, member 10 (theta)	secreted	Mammalia	220	Ligand
IL1RN	P18510	6000	interleukin 1 receptor antagonist	cytoplasm. secreted	Mammalia	220	Ligand
IL2	P60568	6001	interleukin 2	secreted	Eutheria	97	Ligand
IL20	Q9NYY1	6002	interleukin 20	secreted	Amniota	324	Ligand
IL21	Q9HBE4	6005	interleukin 21	secreted	Theria	176	Ligand
IL22	Q9GZX6	14900	interleukin 22	secreted	Amniota	324	Ligand
IL23A	Q9NPF7	15488	interleukin 23, alpha subunit p19	secreted	Eutheria	97	Ligand
IL24	Q13007	11346	interleukin 24	secreted	Eutheria	97	Ligand
IL25	Q9H293	13765	interleukin 25	secreted	Theria	176	Ligand
IL26	Q9NPH9	17119	interleukin 26	secreted	Catarrhini	29	Ligand
IL27	Q8NEV9	19157	interleukin 27	secreted	Theria	176	Ligand
IL3	P08700	6011	interleukin 3 (colony-stimulating factor, multiple)	secreted	Catarrhini	29	Ligand
IL31	Q6EBC2	19372	interleukin 31	secreted	Euarchontoglires	91	Ligand
IL34	Q6ZMJ4	28529	interleukin 34	secreted	Mammalia	220	Ligand
IL4	P05112	6014	interleukin 4	secreted	Eutheria	97	Ligand
IL5	P05113	6016	interleukin 5 (colony-stimulating factor, eosinophil)	nucleus. secreted	Theria	176	Ligand
IL6	P05231	6018	interleukin 6 (interferon, beta 2)	secreted	Tetrapoda	361	Ligand
IL7	P13232	6023	interleukin 7	secreted	Eutheria	97	Ligand
IL8	P10145	6025	interleukin 8	secreted	Euteleostomi	454	Ligand
IL9	P15248	6029	interleukin 9	secreted	Euarchontoglires	91	Ligand
INHA	P05111	6065	inhibin, alpha	endoplasmic reticulum. golgi apparatus. secreted	Tetrapoda	361	Ligand
INHBA	P08476	6066	inhibin, beta A	secreted	Amniota	324	Ligand
INHBB	P09529	6067	inhibin, beta B	secreted	Euteleostomi	454	Ligand
INHBC	P55103	6068	inhibin, beta C	secreted	Theria	176	Ligand
INHBE	P58166	24029	inhibin, beta E	secreted	Eutheria	97	Ligand
INS	P01308	6081	insulin	secreted	NA	NA	Ligand
INSL3	P51460	6086	insulin-like 3 (Leydig cell)	secreted	NA	NA	Ligand
INSL5	Q9Y5Q6	6088	insulin-like 5	secreted	Catarrhini	29	Ligand
ITGB3BP	Q13352	6157	integrin beta 3 binding protein (beta3-endonexin)	cytoplasm. nucleus	Amniota	324	Ligand
ITIH2	P19823	6167	inter-alpha-trypsin inhibitor heavy chain 2	secreted	Deuterostomia	824	Ligand
JAG1	P78504	6188	jagged 1	plasma membrane. secreted	Euteleostomi	454	Ligand
JAG2	Q9Y219	6189	jagged 2	plasma membrane	Euteleostomi	454	Ligand
KAL1	P23352	6211	Kallmann syndrome 1 sequence	secreted	Bilateria	910	Ligand
KISS1	Q15726	6341	KiSS-1 metastasis-suppressor	secreted	Mammalia	220	Ligand
KITLG	P21583	6343	KIT ligand	plasma membrane. secreted	Tetrapoda	361	Ligand
KLK3	P07288	6364	kallikrein-related peptidase 3	secreted	Eutheria	97	Ligand
KNG1	P01042	6383	kininogen 1	secreted	Euteleostomi	454	Ligand
KRTAP4-12	Q9BQ66	16776	keratin associated protein 4-12	secreted	Human	0	Ligand
L1CAM	P32004	6470	L1 cell adhesion molecule	cytoplasm. nucleus. plasma membrane	Bilateria	910	Ligand
LACRT	Q9GZZ8	16430	lacritin	secreted	Catarrhini	29	Ligand
LAMA1	P25391	6481	laminin, alpha 1	nucleus. secreted	Bilateria	910	Ligand
LAMA2	P24043	6482	laminin, alpha 2	cytoplasm. secreted	Bilateria	910	Ligand
LAMA3	Q16787	6483	laminin, alpha 3	secreted	Bilateria	910	Ligand
LAMA4	Q16363	6484	laminin, alpha 4	secreted	Bilateria	910	Ligand
LAMA5	O15230	6485	laminin, alpha 5	cytoplasm. secreted	Bilateria	910	Ligand
LAMB1	P07942	6486	laminin, beta 1	secreted	Bilateria	910	Ligand
LAMB2	P55268	6487	laminin, beta 2 (laminin S)	secreted	Bilateria	910	Ligand
LAMB3	Q13751	6490	laminin, beta 3	secreted	Tetrapoda	361	Ligand
LAMC1	P11047	6492	laminin, gamma 1 (formerly LAMB2)	secreted	Bilateria	910	Ligand
LAMC2	Q13753	6493	laminin, gamma 2	cytoplasm. secreted	Bilateria	910	Ligand
LAMC3	Q9Y6N6	6494	laminin, gamma 3	secreted	Bilateria	910	Ligand
LCN1	P31025	6525	lipocalin 1	secreted	Mammalia	220	Ligand
LCN2	P80188	6526	lipocalin 2	secreted	Theria	176	Ligand
LEFTY2	O00292	3122	left-right determination factor 2	secreted	Deuterostomia	824	Ligand
LEP	P41159	6553	leptin	secreted	Mammalia	220	Ligand
LGALS3BP	Q08380	6564	lectin, galactoside-binding, soluble, 3 binding protein	secreted	Eutheria	97	Ligand
LHB	P01229	6584	luteinizing hormone beta polypeptide	cytoplasm. secreted	Theria	176	Ligand
LIF	P15018	6596	leukemia inhibitory factor	secreted	Tetrapoda	361	Ligand
LIN7C	Q9NUP9	17789	lin-7 homolog C (C. elegans)	secreted	Bilateria	910	Ligand
LIPC	P11150	6619	lipase, hepatic	secreted	Theria	176	Ligand
LIPH	Q8WWY8	18483	lipase, member H	secreted	Euteleostomi	454	Ligand
LPA	P08519	6667	lipoprotein, Lp(a)	secreted	Amniota	324	Ligand
LPL	P06858	6677	lipoprotein lipase	secreted	Euteleostomi	454	Ligand
LRP1B	Q9NZR2	6693	low density lipoprotein receptor-related protein 1B	secreted	Bilateria	910	Ligand
LRPAP1	P30533	6701	low density lipoprotein receptor-related protein associated protein 1	cytoplasm. endoplasmic reticulum. endosome. golgi apparatus. nucleus. secreted	Bilateria	910	Ligand
LTA	P01374	6709	lymphotoxin alpha	cytoplasm. secreted	NA	NA	Ligand
LTB	Q06643	6711	lymphotoxin beta (TNF superfamily, member 3)	cytoplasm. plasma membrane	Mammalia	220	Ligand
LTBP1	Q14766	6714	latent transforming growth factor beta binding protein 1	secreted	Euteleostomi	454	Ligand
LTBP3	Q9NS15	6716	latent transforming growth factor beta binding protein 3	secreted	Euteleostomi	454	Ligand
LTF	P02788	6720	lactotransferrin	cytoplasm. endoplasmic reticulum. golgi apparatus. nucleus. secreted	Euteleostomi	454	Ligand
LY6G5C	Q5SRR4	13932	lymphocyte antigen 6 complex, locus G5C	secreted	Eutheria	97	Ligand
LY86	O95711	16837	lymphocyte antigen 86	secreted	Theria	176	Ligand
LYPD3	O95274	24880	LY6/PLAUR domain containing 3	secreted	Eutheria	97	Ligand
LYZ	P61626	6740	lysozyme	secreted	Tetrapoda	361	Ligand
MADCAM1	Q13477	6765	mucosal vascular addressin cell adhesion molecule 1	plasma membrane	Theria	176	Ligand
MATN1	P21941	6907	matrilin 1, cartilage matrix protein	secreted	Chordata	797	Ligand
MBL2	P11226	6922	mannose-binding lectin (protein C) 2, soluble	secreted	Amniota	324	Ligand
MDK	P21741	6972	midkine (neurite growth-promoting factor 2)	cytoplasm. nucleus. secreted	Euarchontoglires	91	Ligand
MEPE	Q9NQ76	13361	matrix extracellular phosphoglycoprotein	secreted	Theria	176	Ligand
MFAP2	P55001	7033	microfibrillar-associated protein 2	secreted	Euteleostomi	454	Ligand
MFAP5	Q13361	29673	microfibrillar associated protein 5	secreted	Theria	176	Ligand
MFGE8	Q08431	7036	milk fat globule-EGF factor 8 protein	secreted	Homininae	6	Ligand
MFI2	P08582	7037	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	secreted	Deuterostomia	824	Ligand
MFNG	O00587	7038	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	secreted	Amniota	324	Ligand
MIA	Q16674	7076	melanoma inhibitory activity	secreted	NA	NA	Ligand
MLLT4	P55196	7137	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	cytoplasm. nucleus. plasma membrane	Bilateria	910	Ligand
MLN	P12872	7141	motilin	secreted	Amniota	324	Ligand
MMP1	P03956	7155	matrix metallopeptidase 1 (interstitial collagenase)	secreted	Amniota	324	Ligand
MMP12	P39900	7158	matrix metallopeptidase 12 (macrophage elastase)	secreted	Theria	176	Ligand
MMP13	P45452	7159	matrix metallopeptidase 13 (collagenase 3)	secreted	Euteleostomi	454	Ligand
MMP2	P08253	7166	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	cytoplasm. mitochondrion. nucleus. secreted	Chordata	797	Ligand
MMP7	P09237	7174	matrix metallopeptidase 7 (matrilysin, uterine)	secreted	Amniota	324	Ligand
MMP9	P14780	7176	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	secreted	Chordata	797	Ligand
MST1	P26927	7380	macrophage stimulating 1 (hepatocyte growth factor-like)	secreted	Euteleostomi	454	Ligand
MSTN	O14793	4223	myostatin	secreted	Euteleostomi	454	Ligand
MUC2	Q02817	7512	mucin 2, oligomeric mucus/gel-forming	endoplasmic reticulum. golgi apparatus. nucleus. secreted	Chordata	797	Ligand
MUC7	Q8TAX7	7518	mucin 7, secreted	secreted	Catarrhini	29	Ligand
MYOC	Q99972	7610	myocilin, trabecular meshwork inducible glucocorticoid response	cytoplasm. endoplasmic reticulum. golgi apparatus. mitochondrion. secreted	Euteleostomi	454	Ligand
NAMPT	P43490	30092	nicotinamide phosphoribosyltransferase	cytoplasm. nucleus. secreted	Euteleostomi	454	Ligand
NCAM1	P13591	7656	neural cell adhesion molecule 1	plasma membrane. secreted	Deuterostomia	824	Ligand
NCAN	O14594	2465	neurocan	secreted	Euteleostomi	454	Ligand
NDP	Q00604	7678	Norrie disease (pseudoglioma)	secreted	Amniota	324	Ligand
NGF	P01138	7808	nerve growth factor (beta polypeptide)	nucleus. secreted	Euteleostomi	454	Ligand
NID1	P14543	7821	nidogen 1	secreted	Bilateria	910	Ligand
NID2	Q14112	13389	nidogen 2 (osteonidogen)	secreted	Bilateria	910	Ligand
NLGN1	Q8N2Q7	14291	neuroligin 1	plasma membrane	Bilateria	910	Ligand
NLGN2	Q8NFZ4	14290	neuroligin 2	plasma membrane	Bilateria	910	Ligand
NLGN3	Q9NZ94	14289	neuroligin 3	plasma membrane	Bilateria	910	Ligand
NMB	P08949	7842	neuromedin B	secreted	Theria	176	Ligand
NMS	Q5H8A3	32203	neuromedin S	secreted	Eutheria	97	Ligand
NMU	P48645	7859	neuromedin U	secreted	Tetrapoda	361	Ligand
NODAL	Q96S42	7865	nodal growth differentiation factor	secreted	Theria	176	Ligand
NOV	P48745	7885	nephroblastoma overexpressed	nucleus. secreted	Tetrapoda	361	Ligand
NPB	Q8NG41	30099	neuropeptide B	secreted	Theria	176	Ligand
NPFF	O15130	7901	neuropeptide FF-amide peptide precursor	secreted	Euarchontoglires	91	Ligand
NPNT	Q6UXI9	27405	nephronectin	secreted	Euteleostomi	454	Ligand
NPPA	P01160	7939	natriuretic peptide A	secreted	Amniota	324	Ligand
NPPB	P16860	7940	natriuretic peptide B	secreted	Catarrhini	29	Ligand
NPPC	P23582	7941	natriuretic peptide C	secreted	Euteleostomi	454	Ligand
NPS	P0C0P6	33940	neuropeptide S	nucleus. secreted	Catarrhini	29	Ligand
NPVF	Q9HCQ7	13782	neuropeptide VF precursor	secreted	Theria	176	Ligand
NPW	Q8N729	30509	neuropeptide W	secreted	Euarchontoglires	91	Ligand
NPY	P01303	7955	neuropeptide Y	secreted	Euteleostomi	454	Ligand
NRG1	Q02297	7997	neuregulin 1	cytoplasm. nucleus. plasma membrane. secreted	Tetrapoda	361	Ligand
NRG2	O14511	7998	neuregulin 2	secreted	Mammalia	220	Ligand
NRG3	P56975	7999	neuregulin 3	plasma membrane	Tetrapoda	361	Ligand
NRG4	Q8WWG1	29862	neuregulin 4	secreted	Euarchontoglires	91	Ligand
NRTN	Q99748	8007	neurturin	secreted	Amniota	324	Ligand
NTF3	P20783	8023	neurotrophin 3	secreted	Tetrapoda	361	Ligand
NTF4	P34130	8024	neurotrophin 4	secreted	Theria	176	Ligand
NTN1	O95631	8029	netrin 1	secreted	Bilateria	910	Ligand
NTN3	O00634	8030	netrin 3	secreted	Bilateria	910	Ligand
NTN4	Q9HB63	13658	netrin 4	secreted	Chordata	797	Ligand
NTNG1	Q9Y2I2	23319	netrin G1	secreted	Euteleostomi	454	Ligand
NTNG2	Q96CW9	14288	netrin G2	secreted	Euteleostomi	454	Ligand
NTS	P30990	8038	neurotensin	secreted	Tetrapoda	361	Ligand
NXPH1	P58417	20693	neurexophilin 1	secreted	Euteleostomi	454	Ligand
NXPH2	O95156	8076	neurexophilin 2	secreted	Euteleostomi	454	Ligand
NXPH3	O95157	8077	neurexophilin 3	secreted	Human	0	Ligand
OBP2A	Q9NY56	23380	odorant binding protein 2A	secreted	Homininae	6	Ligand
OLAH	Q9NV23	25625	oleoyl-ACP hydrolase	secreted	Euteleostomi	454	Ligand
OLFM2	O95897	17189	olfactomedin 2	secreted	Deuterostomia	824	Ligand
OMG	P23515	8135	oligodendrocyte myelin glycoprotein	plasma membrane	Euteleostomi	454	Ligand
ORM1	P02763	8498	orosomucoid 1	secreted	NA	NA	Ligand
OSM	P13725	8506	oncostatin M	secreted	Eutheria	97	Ligand
OSTN	P61366	29961	osteocrin	secreted	Tetrapoda	361	Ligand
OXT	P01178	8528	oxytocin/neurophysin I prepropeptide	cytoplasm. secreted	Theria	176	Ligand
P4HB	P07237	8548	prolyl 4-hydroxylase, beta polypeptide	endoplasmic reticulum. melanosome. mitochondrion. nucleus. secreted	Bilateria	910	Ligand
PAPLN	O95428	19262	papilin, proteoglycan-like sulfated glycoprotein	secreted	Tetrapoda	361	Ligand
PCSK9	Q8NBP7	20001	proprotein convertase subtilisin/kexin type 9	cytoplasm. endoplasmic reticulum. endosome. golgi apparatus. lysosome. nucleus. secreted	Mammalia	220	Ligand
PDAP1	Q13442	14634	PDGFA associated protein 1	secreted	Deuterostomia	824	Ligand
PDGFA	P04085	8799	platelet-derived growth factor alpha polypeptide	secreted	Euteleostomi	454	Ligand
PDGFB	P01127	8800	platelet-derived growth factor beta polypeptide	cytoplasm. nucleus. secreted	Euteleostomi	454	Ligand
PDGFC	Q9NRA1	8801	platelet derived growth factor C	cytoplasm. nucleus. secreted	Tetrapoda	361	Ligand
PDGFD	Q9GZP0	30620	platelet derived growth factor D	secreted	Tetrapoda	361	Ligand
PDYN	P01213	8820	prodynorphin	cytoplasm. secreted	Theria	176	Ligand
PENK	P01210	8831	proenkephalin	cytoplasm. nucleus. secreted	Euteleostomi	454	Ligand
PF4	P02776	8861	platelet factor 4	secreted	Euarchontoglires	91	Ligand
PGF	P49763	8893	placental growth factor	endoplasmic reticulum. golgi apparatus. secreted	Mammalia	220	Ligand
PI3	P19957	8947	peptidase inhibitor 3, skin-derived	secreted	Catarrhini	29	Ligand
PIGF	Q07326	8962	phosphatidylinositol glycan anchor biosynthesis, class F	endoplasmic reticulum membrane	Deuterostomia	824	Ligand
PIP	P12273	8993	prolactin-induced protein	secreted	Eutheria	97	Ligand
PKM	P14618	9021	pyruvate kinase, muscle	cytoplasm. nucleus. secreted	Cell.Organisms	4200	Ligand
PLA2G10	O15496	9029	phospholipase A2, group X	secreted	Tetrapoda	361	Ligand
PLAT	P00750	9051	plasminogen activator, tissue	secreted	Euteleostomi	454	Ligand
PLAU	P00749	9052	plasminogen activator, urokinase	cytoplasm. secreted	Amniota	324	Ligand
PLG	P00747	9071	plasminogen	secreted	Amniota	324	Ligand
PLTP	P55058	9093	phospholipid transfer protein	secreted	Euteleostomi	454	Ligand
PMCH	P20382	9109	pro-melanin-concentrating hormone	secreted	Amniota	324	Ligand
PNOC	Q13519	9163	prepronociceptin	secreted	Euteleostomi	454	Ligand
PODXL	O00592	9171	podocalyxin-like	secreted	Eutheria	97	Ligand
PODXL2	Q9NZ53	17936	podocalyxin-like 2	plasma membrane	Amniota	324	Ligand
POMC	P01189	9201	proopiomelanocortin	endoplasmic reticulum. nucleus. secreted	Euteleostomi	454	Ligand
PON2	Q15165	9205	paraoxonase 2	secreted	Euteleostomi	454	Ligand
PPBP	P02775	9240	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	cytoplasm. secreted	Eutheria	97	Ligand
PPY	P01298	9327	pancreatic polypeptide	secreted	Theria	176	Ligand
PRL	P01236	9445	prolactin	endoplasmic reticulum. golgi apparatus. secreted	Euteleostomi	454	Ligand
PRLH	P81277	17945	prolactin releasing hormone	secreted	Eutheria	97	Ligand
PRND	Q9UKY0	15748	prion protein 2 (dublet)	secreted	Theria	176	Ligand
PROC	P04070	9451	protein C (inactivator of coagulation factors Va and VIIIa)	secreted	Euteleostomi	454	Ligand
PROK1	P58294	18454	prokineticin 1	secreted	Amniota	324	Ligand
PROK2	Q9HC23	18455	prokineticin 2	secreted	Human	0	Ligand
PROS1	P07225	9456	protein S (alpha)	secreted	Chordata	797	Ligand
PRSS23	O95084	14370	protease, serine, 23	secreted	Euteleostomi	454	Ligand
PSAP	P07602	9498	prosaposin	lysosome. secreted	Deuterostomia	824	Ligand
PSEN1	P49768	9508	presenilin 1	cytoplasm. endoplasmic reticulum. endoplasmic reticulum membrane. golgi apparatus. golgi apparatus membrane. nucleus. plasma membrane	Eukaryota	1628	Ligand
PSPN	O60542	9579	persephin	secreted	Eutheria	97	Ligand
PTDSS1	P48651	9587	phosphatidylserine synthase 1	cytoplasm. mitochondrion. nucleus	Bilateria	910	Ligand
PTGS2	P35354	9605	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	cytoplasm. endoplasmic reticulum. nucleus	Chordata	797	Ligand
PTH	P01270	9606	parathyroid hormone	secreted	Theria	176	Ligand
PTH2	Q96A98	30828	parathyroid hormone 2	secreted	Eutheria	97	Ligand
PTHLH	P12272	9607	parathyroid hormone-like hormone	cytoplasm. nucleus. secreted	Euteleostomi	454	Ligand
PTMA	P06454	9623	prothymosin, alpha	cytoplasm. nucleus	Amniota	324	Ligand
PTN	P21246	9630	pleiotrophin	secreted	Amniota	324	Ligand
PYY	P10082	9748	peptide YY	secreted	Theria	176	Ligand
QDPR	P09417	9752	quinoid dihydropteridine reductase	secreted	Bilateria	910	Ligand
QRFP	P83859	29982	pyroglutamylated RFamide peptide	secreted	Tetrapoda	361	Ligand
RAET1E	Q8TD07	16793	retinoic acid early transcript 1E	secreted	Eutheria	97	Ligand
RARRES2	Q99969	9868	retinoic acid receptor responder (tazarotene induced) 2	secreted	Theria	176	Ligand
RBP3	P10745	9921	retinol binding protein 3, interstitial	secreted	Euteleostomi	454	Ligand
RBP4	P02753	9922	retinol binding protein 4, plasma	secreted	Euteleostomi	454	Ligand
RELN	P78509	9957	reelin	secreted	Deuterostomia	824	Ligand
REN	P00797	9958	renin	secreted	Euteleostomi	454	Ligand
RGMA	Q96B86	30308	repulsive guidance molecule family member a	secreted	Deuterostomia	824	Ligand
RGMB	Q6NW40	26896	repulsive guidance molecule family member b	secreted	Euteleostomi	454	Ligand
RIMS1	Q86UR5	17282	regulating synaptic membrane exocytosis 1	secreted	Bilateria	910	Ligand
RIMS2	Q9UQ26	17283	regulating synaptic membrane exocytosis 2	secreted	Bilateria	910	Ligand
RLN1	P04808	10026	relaxin 1	secreted	Homininae	6	Ligand
RLN2	P04090	10027	relaxin 2	cytoplasm. secreted	Homininae	6	Ligand
RLN3	Q8WXF3	17135	relaxin 3	secreted	Euteleostomi	454	Ligand
RNASE2	P10153	10045	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	cytoplasm. lysosome. secreted	Euarchontoglires	91	Ligand
RPH3A	Q9Y2J0	17056	rabphilin 3A homolog (mouse)	secreted	Euteleostomi	454	Ligand
RPS19	P39019	10402	ribosomal protein S19	mitochondrion. nucleus	Cell.Organisms	4200	Ligand
RSPO1	Q2MKA7	21679	R-spondin 1	secreted	Amniota	324	Ligand
RSPO2	Q6UXX9	28583	R-spondin 2	secreted	Tetrapoda	361	Ligand
RSPO3	Q9BXY4	20866	R-spondin 3	secreted	Deuterostomia	824	Ligand
RSPO4	Q2I0M5	16175	R-spondin 4	secreted	Theria	176	Ligand
RTN4	Q9NQC3	14085	reticulon 4	cytoplasm. endoplasmic reticulum membrane. mitochondrion. nucleus. plasma membrane	Chordata	797	Ligand
S100A8	P05109	10498	S100 calcium binding protein A8	cytoplasm. secreted	Mammalia	220	Ligand
S100A9	P06702	10499	S100 calcium binding protein A9	cytoplasm. secreted	Theria	176	Ligand
SAA1	P0DJI8	10513	serum amyloid A1	secreted	Mammalia	220	Ligand
SCGB1A1	P11684	12523	secretoglobin, family 1A, member 1 (uteroglobin)	secreted	Eutheria	97	Ligand
SCGB3A1	Q96QR1	18384	secretoglobin, family 3A, member 1	secreted	Euarchontoglires	91	Ligand
SCGB3A2	Q96PL1	18391	secretoglobin, family 3A, member 2	secreted	Mammalia	220	Ligand
SCT	P09683	10607	secretin	secreted	Homininae	6	Ligand
SELPLG	Q14242	10722	selectin P ligand	plasma membrane	Euarchontoglires	91	Ligand
